# BTE HeatFlux PeriodicBC IC_fneq IC_T Total
0.000683 0.000115 0.000092 0.000063 0.000251 0.001204
0.000699 0.000113 0.000069 0.000062 0.000248 0.001191
0.000699 0.000113 0.000064 0.000061 0.000248 0.001184
0.000670 0.000112 0.000091 0.000061 0.000245 0.001180
0.000688 0.000111 0.000064 0.000060 0.000246 0.001170
0.000679 0.000110 0.000072 0.000059 0.000243 0.001163
0.000655 0.000112 0.000090 0.000059 0.000250 0.001167
0.000686 0.000110 0.000077 0.000058 0.000249 0.001180
0.000648 0.000113 0.000119 0.000058 0.000277 0.001215
0.000673 0.000108 0.000158 0.000057 0.000290 0.001287
0.000653 0.000114 0.000196 0.000056 0.000345 0.001364
0.000666 0.000108 0.000192 0.000057 0.000307 0.001328
0.000636 0.000110 0.000105 0.000056 0.000269 0.001175
0.000643 0.000106 0.000060 0.000055 0.000232 0.001096
0.000636 0.000105 0.000119 0.000055 0.000255 0.001170
0.000628 0.000110 0.000139 0.000054 0.000293 0.001224
0.000640 0.000104 0.000097 0.000054 0.000248 0.001142
0.000606 0.000104 0.000078 0.000053 0.000227 0.001069
